vocab,lux,ycba,yuag
http://vocab.getty.edu/aat/300021949##quaType,https://lux.collections.yale.edu/data/concept/260863bc-441c-482d-b211-01c1f0955bdb,https://ycba-lux.s3.amazonaws.com/v3/place/14/14e40134-f0e3-4277-8eaf-25c49c009368.json##quaType,
http://vocab.getty.edu/aat/300250737##quaType,https://lux.collections.yale.edu/data/concept/e432638a-1019-4cb6-b901-ed1273f6c53e,https://ycba-lux.s3.amazonaws.com/v3/concept/9a/9ac36647-1354-4907-89c5-d74e4f991631.json##quaType,
http://vocab.getty.edu/aat/300379598##quaType,https://lux.collections.yale.edu/data/concept/74f0ec44-f193-48af-85bd-60ce6132daf6,https://ycba-lux.s3.amazonaws.com/v3/concept/cf/cf91272e-e61a-4279-8824-e41bab2a916c.json##quaType,
http://vocab.getty.edu/aat/300379835##quaType,https://lux.collections.yale.edu/data/concept/e1a28c35-aed4-43b2-a573-058496499228,https://ycba-lux.s3.amazonaws.com/v3/concept/0a/0aa3856d-48da-4eae-b5b7-63c9a55cbe50.json##quaType,
http://vocab.getty.edu/aat/300150555##quaType,https://lux.collections.yale.edu/data/concept/4e1c1337-0e18-4145-b284-e3741f41ad1b,https://ycba-lux.s3.amazonaws.com/v3/concept/b1/b1851df3-bc4f-4d72-9973-54b9a683892c.json##quaType,
http://vocab.getty.edu/aat/300400479##quaType,https://lux.collections.yale.edu/data/concept/b7d84ff0-ed49-4410-a654-abad6793783f,https://ycba-lux.s3.amazonaws.com/v3/concept/39/39e0ccdd-5035-4744-b50f-7425a4eecfab.json##quaType,
http://vocab.getty.edu/aat/300018461##quaPerson,https://lux.collections.yale.edu/data/person/841b83a9-cf62-4c87-9a0a-a5e3fc5f7397,,https://media.art.yale.edu/content/lux/agt/49165.json##quaPerson
http://vocab.getty.edu/aat/300025653##quaType,https://lux.collections.yale.edu/data/concept/a9cd30f3-006c-4fcb-9efb-9a0fae4f1b1a,https://ycba-lux.s3.amazonaws.com/v3/concept/24/24ca6891-26e7-45ff-b3a2-242f36c13981.json##quaType,
http://vocab.getty.edu/aat/300025666##quaType,https://lux.collections.yale.edu/data/concept/81bf8dd4-717e-4677-8fd8-b469123aa870,https://ycba-lux.s3.amazonaws.com/v3/concept/bf/bf73783f-5091-4e86-bfbc-0809ac8d6e24.json##quaType,
http://vocab.getty.edu/aat/300162131##quaType,https://lux.collections.yale.edu/data/concept/81bf8dd4-717e-4677-8fd8-b469123aa870,https://ycba-lux.s3.amazonaws.com/v3/concept/bf/bf73783f-5091-4e86-bfbc-0809ac8d6e24.json##quaType,
http://vocab.getty.edu/aat/300055917##quaType,https://lux.collections.yale.edu/data/concept/ed933e8d-ce2b-457f-9555-b21628d89619,https://ycba-lux.s3.amazonaws.com/v3/concept/d9/d9184263-a90f-4c0e-a78c-1d8580c163d8.json##quaType,
http://vocab.getty.edu/aat/300390514##quaType,https://lux.collections.yale.edu/data/concept/508f5698-d5fa-45c5-89e7-d2d83be4ad71,https://ycba-lux.s3.amazonaws.com/v3/concept/84/843a124c-3d9d-47c6-a43a-1eda4c9f0397.json##quaType,
http://vocab.getty.edu/aat/300026427##quaType,https://lux.collections.yale.edu/data/concept/e31ddc5d-a824-4ea1-bcba-da6194cb74c9,https://ycba-lux.s3.amazonaws.com/v3/concept/60/60bc4385-0c99-4602-93cf-321eb293a7f4.json##quaType,
http://vocab.getty.edu/aat/300400480##quaType,https://lux.collections.yale.edu/data/concept/7be014cf-3906-44aa-a4ce-4767ca978a8d,https://ycba-lux.s3.amazonaws.com/v3/concept/2a/2ace1b8c-8603-4bb9-bd5a-416d1a83136b.json##quaType,
http://vocab.getty.edu/aat/300060037##quaGroup,https://lux.collections.yale.edu/data/group/7edac4c4-d435-4909-b886-cedb6e5178ac,,https://media.art.yale.edu/content/lux/agt/15168.json##quaGroup
