URL,Label,Entity
http://vocab.getty.edu/ulan/500115842##quaPerson,"Taylor, Isidore Justin",person
http://vocab.getty.edu/ulan/500025017##quaPerson,"Metsys, Quinten",person
http://vocab.getty.edu/ulan/500015192##quaPerson,"Holloway, Thomas",person
http://vocab.getty.edu/ulan/500014583##quaPerson,"Green, William",person
http://vocab.getty.edu/ulan/500007973##quaPerson,"Allan, David",person
http://vocab.getty.edu/ulan/500030441##quaPerson,"Loggan, David",person
http://vocab.getty.edu/ulan/500032047##quaPerson,"Epstein, Jacob",person
http://vocab.getty.edu/ulan/500008556##quaPerson,"Bluck, J.",person
http://vocab.getty.edu/ulan/500040627##quaPerson,"Paul, John Dean",person
http://vocab.getty.edu/ulan/500009972##quaPerson,"Fourdrinier, Pierre",person
http://vocab.getty.edu/ulan/500005772##quaPerson,"Zobel, George J.",person
http://vocab.getty.edu/ulan/500005652##quaPerson,"Bril, Paul",person
http://vocab.getty.edu/ulan/500019913##quaPerson,"Caponigro, Paul",person
http://vocab.getty.edu/ulan/500021138##quaPerson,"Cochin, Charles-Nicolas, the younger",person
http://vocab.getty.edu/ulan/500001580##quaPerson,"Havinden, John",person
http://vocab.getty.edu/ulan/500001302##quaPerson,"Meryon, Charles",person
http://vocab.getty.edu/ulan/500005259##quaPerson,"Holbein, Hans, the younger",person
http://vocab.getty.edu/ulan/500013764##quaPerson,"Bol, Ferdinand",person
http://vocab.getty.edu/ulan/500022965##quaPerson,"Walker, John",person
http://vocab.getty.edu/ulan/500126014##quaPerson,"Wiley, Kehinde",person
http://vocab.getty.edu/ulan/500006992##quaPerson,"Gavarni, Paul",person
http://vocab.getty.edu/ulan/500115339##quaPerson,"Canova, Antonio",person
http://vocab.getty.edu/ulan/500000724##quaPerson,"Ridley, Matthew White",person
http://vocab.getty.edu/ulan/500032750##quaPerson,"Murray, Thomas",person
http://vocab.getty.edu/ulan/500003465##quaPerson,"Kirkall, Elisha",person
http://vocab.getty.edu/ulan/500018023##quaPerson,"Earlom, Richard",person
http://vocab.getty.edu/ulan/500334114##quaPerson,"Fuss, Adam",person
http://vocab.getty.edu/ulan/500008275##quaPerson,"Chamberlin, Mason, the elder",person
http://vocab.getty.edu/ulan/500016387##quaPerson,Giambologna,person
http://vocab.getty.edu/ulan/500332694##quaPerson,"Willmore, James Tibbitts",person
http://vocab.getty.edu/ulan/500009343##quaPerson,"Nash, David",person
http://vocab.getty.edu/ulan/500029209##quaPerson,"Hardie, Martin",person
http://vocab.getty.edu/ulan/500047442##quaPerson,"Prestel, Katharina",person
http://vocab.getty.edu/ulan/500029432##quaPerson,"Lancret, Nicolas",person
http://vocab.getty.edu/ulan/500714256##quaPerson,"Barry, James",person
http://vocab.getty.edu/ulan/500055095##quaPerson,"Lerpinière, Daniel",person
http://vocab.getty.edu/ulan/500013090##quaPerson,"Zoffany, Johann",person
http://vocab.getty.edu/ulan/500012494##quaPerson,"Schmidt, Georg Friedrich",person
http://vocab.getty.edu/ulan/500195535##quaPerson,"Riddle, James",person
http://vocab.getty.edu/ulan/500001584##quaPerson,"Wyeth, Jamie",person
http://vocab.getty.edu/ulan/500056927##quaPerson,"Noël, Alphonse Léon",person
http://vocab.getty.edu/ulan/500004347##quaPerson,"Von Holst, Theodor M.",person
http://vocab.getty.edu/ulan/500763043##quaPerson,"Birch, William",person
http://vocab.getty.edu/ulan/500016371##quaPerson,"Street, George Edmund",person
